GUID,First Name,Middle,Last Name,Suffix,Professional Title,School,Affiliation
1,Trevor,E.,Angell,MD,Insturctor in Medicine,,Harvard Medical School
2,Kevin,L.,Ard,"MD, MPH",Instructor of Medicine,,Harvard Medical School
3,Peter,D.,Asnis,MD,Instructor of Orthopedic Surgery,,Harvard Medical School
4,Robert,L.,Barbieri,MD,"Kate Macy Ladd Professor of Obstetrics, Gynecology and Reproductive Biology",,Harvard Medical School
5,David,W.,Bates,"MD, MSc",Professor of Medicine,,Harvard Medical School
6,Lauren,R.,Bayer,PA-C,"Clinical Director, Brigham and Women's Hospital Wound Care Center",,Harvard Medical School
7,Herbert,,Benson,MD,"Professor of Medicine,Mind Body Medicine",,Harvard Medical School
8,Monica,,Bharel,MD,Instructor of Medicine,,Harvard Medical School
9,Shalender,,Bhasin,MD,Professor of Medicine,,Harvard Medical School
10,Joanne,P.,Borg-Stein,MD,Associate Professor of Physical Medicine and Rehabilitation,,Harvard Medical School
11,Rebecca,,Burch,MD,Instructor in Neurology,,Harvard Medical School
12,Elizabeth,A.,Buzney,MD,Instructor in Dermatology,,Harvard Medical School
13,Daniela,A.,Carusi,MD,"Assistant Professor of Obstetrics, Gynecology and Reproductive Biology",,Harvard Medical School
14,Bartoleme,R.,Celli,MD,Professor of Medicine,,Harvard Medical School
15,Julia,F.,Charles,MD,Instructor of Medicine,,Harvard Medical School
16,Gary,A.,Chinman,MD,Assistant Professor of Psychiatry,,Harvard Medical School
17,Thomas,I.,Cochrane,"MD, MBA",Assistant Professor of Neurology,,Harvard Medical School
18,Barbara,Cockrill,Gootkind,MD,Assistant Professor of Medicine,,Harvard Medical School
19,John,J.,Costa,MD,Assistant Clinical Professor of Medicine,,Harvard Medical School
20,Patricia,,Cho,MD,Clinical Fellow in Surgery,,Harvard Medical School
21,Rebecca,J.,Cunningham,MD,Assistant Professor of Medicine,,Harvard Medical School
22,Jatin,K.,Dave,"MD, BS",Clinical Instructor of Medicine,,Harvard Medical School
23,Bradley,M.,Denker,MD,Associate Professor of Medicine,,Harvard Medical School
24,Akshay,S.,Desai,"MD, MPH",Assistant Professor of Medicine,,Harvard Medical School
25,Amy,,DiVasta,MD,Assistant Professor of Pediatrics,,Harvard Medical School
26,Jonathan,,Edlow,MD,Professor of Medicine,,Harvard Medical School
27,Brian,H.,Eisner,MD,Assistant Professor of Surgery,,Harvard Medical School
28,Todd,B.,Ellerin,MD,Instructor of Medicine,,Harvard Medical School
29,Laurence,M.,Epstein,MD,Associate Professor of Medicine,,Harvard Medical School
30,Jane,L.,Erb,MD,Assistant Professor of Psychiatry,,Harvard Medical School
31,Jairam,R.,Eswara,MD,Insturctor in Surgery,,Harvard Medical School
32,Christopher,H.,Fanta,MD,Professor of Medicine,,Harvard Medical School
33,Joseph,P.,Frolkis,"MD, PhD",Lecturer on Medicine,,Harvard Medical School
34,Marie,,Gerhard-Herman,MD,Associate Professor Medicine,,Harvard Medical School
35,Allison,B.,Goldfine,MD,Associate Professor of Medicine,,Harvard Medical School
36,Samuel,Z.,Goldhaber,MD,Professor of Medicine,,Harvard Medical School
37,John,D.,Goodson,MD,Associate Professor of Medicine,,Harvard Medical School
38,Charles,J.,Hatem,MD,Harold Amos Academy Professor of Medicine,,Harvard Medical School
39,Michael,J.,Healey,MD,Assistant Professor of Medicine,,Harvard Medical School
40,Howard,M.,Heller,MD,Assistant Clinical Professor of Medicine,,Harvard Medical School
41,Galen,V.,Henderson,MD,Assistant Professor of Neurology,,Harvard Medical School
42,Kevin,P.,Hill,MD,Assistant Professor of Psychiatry,,Harvard Medical School
43,Kunal,,Jajoo,MD,Assistant Professor of Medicine,,Harvard Medical School
